datetime,p_up,p_dn,EV,kelly_raw,stake,side,target_up,payoff
2022-01-14 05:00:00+00:00,0.350968,0.649032,0.380918,0.337796,0.084449,DOWN,0,0.09523
2022-01-14 06:00:00+00:00,0.442882,0.557118,0.185357,0.164373,0.041093,DOWN,0,0.046339
2022-01-14 07:00:00+00:00,0.493118,0.506882,0.0,0.0,0.0,NO_BET,0,0.0
2022-01-14 08:00:00+00:00,0.609143,0.390857,0.149326,0.168389,0.042097,UP,1,0.037331
2022-01-14 09:00:00+00:00,0.417089,0.582911,0.240237,0.21304,0.05326,DOWN,0,0.060059
2022-01-14 10:00:00+00:00,0.5698,0.4302,0.075094,0.084681,0.02117,UP,0,-0.02117
2022-01-14 11:00:00+00:00,0.450905,0.549095,0.168288,0.149236,0.037309,DOWN,1,-0.037309
2022-01-14 12:00:00+00:00,0.528729,0.471271,0.0,0.0,0.0,NO_BET,1,0.0
2022-01-14 13:00:00+00:00,0.463434,0.536566,0.14163,0.125596,0.031399,DOWN,1,-0.031399
2022-01-14 14:00:00+00:00,0.411623,0.588377,0.251865,0.223352,0.055838,DOWN,1,-0.055838
2022-01-14 15:00:00+00:00,0.307969,0.692031,0.472407,0.418927,0.104732,DOWN,1,-0.104732
2022-01-14 16:00:00+00:00,0.304421,0.695579,0.479956,0.425622,0.106405,DOWN,0,0.119989
2022-01-14 17:00:00+00:00,0.485441,0.514559,0.0,0.0,0.0,NO_BET,1,0.0
2022-01-14 18:00:00+00:00,0.533238,0.466762,0.0,0.0,0.0,NO_BET,1,0.0
2022-01-14 19:00:00+00:00,0.378248,0.621752,0.322876,0.286324,0.071581,DOWN,1,-0.071581
2022-01-14 20:00:00+00:00,0.32745,0.67255,0.430958,0.38217,0.095543,DOWN,1,-0.095543
2022-01-14 21:00:00+00:00,0.411676,0.588324,0.251752,0.223252,0.055813,DOWN,0,0.062938
2022-01-14 22:00:00+00:00,0.361097,0.638903,0.359369,0.318685,0.079671,DOWN,0,0.089842
2022-01-14 23:00:00+00:00,0.433687,0.566313,0.204922,0.181723,0.045431,DOWN,1,-0.045431
2022-01-15 00:00:00+00:00,0.601937,0.398063,0.13573,0.153058,0.038264,UP,0,-0.038264
2022-01-15 01:00:00+00:00,0.55304,0.44696,0.043471,0.049021,0.012255,UP,1,0.010868
2022-01-15 02:00:00+00:00,0.325723,0.674277,0.434631,0.385428,0.096357,DOWN,0,0.108658
2022-01-15 03:00:00+00:00,0.584344,0.415656,0.102535,0.115625,0.028906,UP,0,-0.028906
2022-01-15 04:00:00+00:00,0.485048,0.514952,0.0,0.0,0.0,NO_BET,1,0.0
2022-01-15 05:00:00+00:00,0.344463,0.655537,0.39476,0.35007,0.087517,DOWN,1,-0.087517
2022-01-15 06:00:00+00:00,0.3374,0.6626,0.409786,0.363396,0.090849,DOWN,1,-0.090849
2022-01-15 07:00:00+00:00,0.299835,0.700165,0.489713,0.434274,0.108569,DOWN,0,0.122428
2022-01-15 08:00:00+00:00,0.630747,0.369253,0.190089,0.214356,0.053589,UP,1,0.047522
2022-01-15 09:00:00+00:00,0.329993,0.670007,0.425546,0.377371,0.094343,DOWN,1,-0.094343
2022-01-15 10:00:00+00:00,0.316619,0.683381,0.454003,0.402606,0.100652,DOWN,0,0.113501
2022-01-15 11:00:00+00:00,0.34853,0.65147,0.386107,0.342397,0.085599,DOWN,0,0.096527
2022-01-15 12:00:00+00:00,0.575704,0.424296,0.086233,0.097242,0.024311,UP,1,0.021558
2022-01-15 13:00:00+00:00,0.423775,0.576225,0.22601,0.200424,0.050106,DOWN,1,-0.050106
2022-01-15 14:00:00+00:00,0.329418,0.670582,0.426769,0.378456,0.094614,DOWN,1,-0.094614
2022-01-15 15:00:00+00:00,0.319826,0.680174,0.447178,0.396554,0.099138,DOWN,0,0.111794
2022-01-15 16:00:00+00:00,0.33719,0.66281,0.410234,0.363793,0.090948,DOWN,1,-0.090948
2022-01-15 17:00:00+00:00,0.359042,0.640958,0.363741,0.322563,0.080641,DOWN,0,0.090935
2022-01-15 18:00:00+00:00,0.35786,0.64214,0.366255,0.324793,0.081198,DOWN,1,-0.081198
2022-01-15 19:00:00+00:00,0.308244,0.691756,0.471822,0.418408,0.104602,DOWN,0,0.117956
2022-01-15 20:00:00+00:00,0.387229,0.612771,0.303768,0.269379,0.067345,DOWN,0,0.075942
2022-01-15 21:00:00+00:00,0.497015,0.502985,0.0,0.0,0.0,NO_BET,0,0.0
2022-01-15 22:00:00+00:00,0.535874,0.464126,0.0,0.0,0.0,NO_BET,0,0.0
2022-01-15 23:00:00+00:00,0.558281,0.441719,0.05336,0.060172,0.015043,UP,0,-0.015043
2022-01-16 00:00:00+00:00,0.611235,0.388765,0.153273,0.172839,0.04321,UP,0,-0.04321
2022-01-16 01:00:00+00:00,0.592704,0.407296,0.11831,0.133414,0.033353,UP,0,-0.033353
2022-01-16 02:00:00+00:00,0.599596,0.400404,0.131313,0.148077,0.037019,UP,1,0.032828
2022-01-16 03:00:00+00:00,0.364847,0.635153,0.35139,0.31161,0.077902,DOWN,1,-0.077902
2022-01-16 04:00:00+00:00,0.373318,0.626682,0.333365,0.295626,0.073906,DOWN,0,0.083341
2022-01-16 05:00:00+00:00,0.487299,0.512701,0.0,0.0,0.0,NO_BET,1,0.0
2022-01-16 06:00:00+00:00,0.339555,0.660445,0.405202,0.35933,0.089833,DOWN,1,-0.089833
2022-01-16 07:00:00+00:00,0.30649,0.69351,0.475552,0.421716,0.105429,DOWN,0,0.118888
2022-01-16 08:00:00+00:00,0.569304,0.430696,0.074159,0.083626,0.020907,UP,1,0.01854
2022-01-16 09:00:00+00:00,0.427686,0.572314,0.217689,0.193045,0.048261,DOWN,0,0.054422
2022-01-16 10:00:00+00:00,0.62552,0.37448,0.180227,0.203234,0.050809,UP,1,0.045057
2022-01-16 11:00:00+00:00,0.461342,0.538658,0.146081,0.129544,0.032386,DOWN,1,-0.032386
2022-01-16 12:00:00+00:00,0.338891,0.661109,0.406615,0.360583,0.090146,DOWN,1,-0.090146
2022-01-16 13:00:00+00:00,0.373378,0.626622,0.333238,0.295513,0.073878,DOWN,1,-0.073878
2022-01-16 14:00:00+00:00,0.365141,0.634859,0.350763,0.311054,0.077764,DOWN,0,0.087691
2022-01-16 15:00:00+00:00,0.34066,0.65934,0.402851,0.357246,0.089311,DOWN,1,-0.089311
2022-01-16 16:00:00+00:00,0.346669,0.653331,0.390067,0.345908,0.086477,DOWN,0,0.097517
2022-01-16 17:00:00+00:00,0.640877,0.359123,0.209203,0.235909,0.058977,UP,0,-0.058977
2022-01-16 18:00:00+00:00,0.530801,0.469199,0.0,0.0,0.0,NO_BET,0,0.0
2022-01-16 19:00:00+00:00,0.581866,0.418134,0.09786,0.110352,0.027588,UP,1,0.024465
2022-01-16 20:00:00+00:00,0.361816,0.638184,0.357838,0.317328,0.079332,DOWN,0,0.08946
2022-01-16 21:00:00+00:00,0.413915,0.586085,0.24699,0.219028,0.054757,DOWN,1,-0.054757
2022-01-16 22:00:00+00:00,0.462477,0.537523,0.143666,0.127402,0.03185,DOWN,0,0.035916
2022-01-16 23:00:00+00:00,0.477904,0.522096,0.0,0.0,0.0,NO_BET,0,0.0
2022-01-17 00:00:00+00:00,0.56071,0.43929,0.057944,0.065341,0.016335,UP,1,0.014486
2022-01-17 01:00:00+00:00,0.567462,0.432538,0.070683,0.079706,0.019926,UP,1,0.017671
2022-01-17 02:00:00+00:00,0.350665,0.649335,0.381564,0.338368,0.084592,DOWN,0,0.095391
2022-01-17 03:00:00+00:00,0.58176,0.41824,0.09766,0.110128,0.027532,UP,0,-0.027532
2022-01-17 04:00:00+00:00,0.629129,0.370871,0.187036,0.210913,0.052728,UP,1,0.046759
2022-01-17 05:00:00+00:00,0.548716,0.451284,0.035313,0.039821,0.009955,UP,1,0.008828
2022-01-17 06:00:00+00:00,0.401169,0.598831,0.274109,0.243078,0.060769,DOWN,0,0.068527
2022-01-17 07:00:00+00:00,0.4139,0.5861,0.247021,0.219056,0.054764,DOWN,1,-0.054764
2022-01-17 08:00:00+00:00,0.505589,0.494411,0.0,0.0,0.0,NO_BET,1,0.0
2022-01-17 09:00:00+00:00,0.315277,0.684723,0.456857,0.405138,0.101284,DOWN,0,0.114214
