pnl_total,bank_final
2804.5499999999984,3054.5499999999984
1319.2999999999986,1569.2999999999986
2305.624999999998,2555.624999999998
1927.9999999999986,2177.9999999999986
1855.5749999999987,2105.574999999999
2364.7749999999983,2614.7749999999983
1397.4499999999987,1647.4499999999987
1026.7249999999985,1276.7249999999985
1411.2999999999986,1661.2999999999986
2454.0249999999983,2704.0249999999983
365.4999999999986,615.4999999999986
2420.2499999999986,2670.2499999999986
1047.2499999999984,1297.2499999999984
2354.449999999998,2604.449999999998
2743.7749999999987,2993.7749999999987
1476.824999999999,1726.824999999999
2738.174999999999,2988.174999999999
505.57499999999845,755.5749999999985
2789.699999999999,3039.699999999999
2205.8749999999986,2455.8749999999986
1619.7249999999983,1869.7249999999983
2048.7749999999983,2298.7749999999983
2341.3499999999985,2591.3499999999985
1753.9249999999986,2003.9249999999986
1719.3499999999985,1969.3499999999985
2179.0499999999984,2429.0499999999984
2258.5499999999984,2508.5499999999984
310.3499999999985,560.3499999999985
1832.9999999999989,2082.999999999999
3685.1499999999987,3935.1499999999987
1706.2499999999982,1956.2499999999982
1437.1999999999985,1687.1999999999985
2512.649999999998,2762.649999999998
2771.899999999998,3021.899999999998
1831.224999999998,2081.224999999998
2111.5999999999985,2361.5999999999985
1506.6499999999987,1756.6499999999987
1712.4999999999984,1962.4999999999984
2350.374999999998,2600.374999999998
2011.7249999999983,2261.7249999999985
947.8499999999984,1197.8499999999985
2252.799999999998,2502.799999999998
1948.7249999999988,2198.7249999999985
1660.4999999999984,1910.4999999999984
1066.2499999999986,1316.2499999999986
1759.5999999999988,2009.5999999999988
1780.1499999999985,2030.1499999999985
964.7999999999988,1214.7999999999988
1403.2749999999985,1653.2749999999985
2726.924999999998,2976.924999999998
1350.5499999999981,1600.5499999999981
2055.0249999999983,2305.0249999999983
2397.224999999998,2647.224999999998
1359.1999999999987,1609.1999999999987
1422.3249999999982,1672.3249999999982
2356.3999999999987,2606.3999999999987
2337.249999999998,2587.249999999998
2412.0499999999984,2662.0499999999984
1845.5749999999982,2095.574999999998
1576.2999999999986,1826.2999999999986
1585.2999999999984,1835.2999999999984
2097.2249999999985,2347.2249999999985
2824.8499999999985,3074.8499999999985
2930.399999999998,3180.399999999998
1652.574999999999,1902.574999999999
1817.324999999999,2067.324999999999
2815.2749999999983,3065.2749999999983
1612.2249999999988,1862.2249999999988
2331.8249999999985,2581.8249999999985
1213.3749999999984,1463.3749999999984
2003.4499999999985,2253.4499999999985
1341.0999999999983,1591.0999999999983
1962.2499999999984,2212.249999999998
1887.7749999999983,2137.7749999999983
1317.3249999999982,1567.3249999999982
1730.2749999999987,1980.2749999999987
1987.9749999999985,2237.9749999999985
1738.0499999999981,1988.0499999999981
1943.1999999999985,2193.1999999999985
1389.724999999998,1639.724999999998
1885.3749999999986,2135.3749999999986
1719.0749999999985,1969.0749999999985
1651.4499999999982,1901.4499999999982
1493.5249999999985,1743.5249999999985
2637.3499999999976,2887.3499999999976
2048.8249999999985,2298.8249999999985
1753.1749999999981,2003.1749999999981
2548.8249999999985,2798.8249999999985
1314.3999999999987,1564.3999999999987
2603.549999999999,2853.549999999999
2319.799999999998,2569.799999999998
880.2249999999985,1130.2249999999985
1551.4999999999986,1801.4999999999986
1503.0999999999988,1753.0999999999988
2330.2999999999984,2580.2999999999984
1716.9249999999984,1966.9249999999984
1787.9499999999987,2037.9499999999987
2562.0249999999983,2812.0249999999983
2997.949999999998,3247.949999999998
3711.649999999998,3961.649999999998
626.3499999999984,876.3499999999984
2852.3499999999985,3102.3499999999985
2026.2999999999984,2276.2999999999984
1826.1499999999987,2076.1499999999987
3521.2999999999984,3771.2999999999984
1319.0249999999983,1569.0249999999983
1191.5499999999988,1441.5499999999988
1860.8249999999985,2110.8249999999985
2511.8249999999985,2761.8249999999985
1543.6499999999985,1793.6499999999985
1702.4499999999987,1952.4499999999987
1616.2999999999986,1866.2999999999986
520.2499999999985,770.2499999999985
1200.2999999999981,1450.2999999999981
1488.9499999999987,1738.9499999999987
2045.5749999999987,2295.574999999999
3007.1749999999984,3257.1749999999984
2482.5499999999984,2732.5499999999984
1365.024999999999,1615.024999999999
1880.3999999999987,2130.3999999999987
1661.0749999999985,1911.0749999999985
2070.0999999999985,2320.0999999999985
